Index,Gloss
0,ABANDON
1,ABOUT
2,ABOVE
3,ACCEPT
4,ACCIDENT
5,ACT
6,ACTAGENT
7,ACTION
8,ADDICTED
9,ADMIT
10,ADULTTALL
11,ADVISE/INFLUENCE
12,ADVISE/INFLUENCEAGENT
13,AFRAID
14,AFTERNOON3
15,AGAIN
16,AGAINST
17,AGENT
18,AGREE
19,AIRPLANE
20,ALARM
21,ALCOHOL
22,ALEVELABOVE
23,ALL
24,ALLDAY
25,ALLERGY
26,ALLNIGHT
27,ALLOW
28,ALMOST
29,ALONE
30,ALOT
31,ALSO
32,ALWAYS
33,AMONG
34,ANALYZE
35,AND
36,ANGRY
37,ANIMAL
38,ANNOUNCE
39,ANSWER
40,ANSWERAGENT
41,ANY
42,ANYTHING
43,ANYWAY/NOTMATTER
44,APPLAUSE
45,APPLE
46,APPLY
47,APPOINTMENT
48,AREA
49,ARGUE
50,AROUND
51,ARRIVE
52,ARTICLE
53,ASK
54,ASSAULT
55,ATTEMPT
56,ATTENTIONWAVE
57,AUDIENCE
58,AUDIOLOGYAGENT
59,AUNT
60,AUTUMN
61,AVERAGE
62,AWKWARD
63,BABY
64,BACK
65,BAD
66,BAKE/OVEN
67,BAKINGSPRINKLES
68,BALANCE
69,BALD
70,BASEBALL
71,BASKETBALL
72,BAWLOUT
73,BBQ
74,BEAR
75,BEAT
76,BEAUTIFUL
77,BECAUSE
78,BECOME
79,BED
80,BEFORE
81,BEHAVIOR
82,BEHIND
83,BELIEVE
84,BELONG
85,BELOW2
86,BERRY
87,BESTFRIEND
88,BETTER
89,BETWEEN/SHARE
90,BICYCLE
91,BIG
92,BILL/OWE
93,BIRD
94,BIRTHDAY
95,BIRTHDAY3
96,BLACK
97,BLAME
98,BLANKOUT
99,BLUE
100,BLUEBERRY
101,BOAT
102,BODY
103,BOMB
104,BOOK
105,BOOKPAGE
106,BORE
107,BORN
108,BOSS
109,BOTH
110,BOTHER
111,BOX/ROOM
112,BOY
113,BRACELET
114,BRAVE/RECOVER
115,BREAK
116,BREAKDOWN
117,BREATHE
118,BRING/CARRY
119,BROTHER
120,BUILD
121,BUSY/BUSINESS
122,BUT
123,BUTTER
124,BUY
125,CAFETERIA
126,CALLBYPHONE
127,CALLONRELAY/VRS
128,CAMP
129,CAN
130,CANCEL/CRITICIZE
131,CANNOT
132,CAR
133,CARE
134,CAT
135,CAUSE
136,CELEBRATE
137,CENTER
138,CHALLENGE
139,CHANGE
140,CHAPTER
141,CHARACTER
142,CHASE
143,CHAT
144,CHEAP
145,CHECK
146,CHEESE
147,CHILD
148,CHOCOLATE
149,CHOOSE
150,CHRISTMAS
151,CHURCH
152,CITY/COMMUNITY
153,CLASS
154,CLASS2BOX/ROOM
155,CLEAR
156,CLEVER
157,CLOSEDOOR
158,COAT
159,COLD
160,COLLAR
161,COLLEGE
162,COLOR
163,COME
164,COMEON
165,COMMUNICATE
166,COMMUTE
167,COMPARE
168,COMPETITION
169,COMPUTER
170,COMPUTER5
171,CONCEPT
172,CONFIDENT
173,CONFLICT/INTERSECTION
174,CONFRONT
175,CONTACT
176,CONTINUE
177,COOK/KITCHEN
178,COOKIE
179,COOL
180,COOPERATE/UNITE
181,COP
182,CORRECT
183,COUGH
184,COUNTRY
185,COURSE
186,COURT
187,COUSIN
188,COW
189,CRACK
190,CRASH
191,CRAZY
192,CREATE/PRETEND
193,CROWDED
194,CRY
195,CULTURE
196,CUP
197,CURIOUS
198,DANCE
199,DANGER
200,DATE/DESSERT
201,DAUGHTER
202,DAY
203,DEAF
204,DEAF2
205,DEAFAPPLAUSE
206,DECIDE
207,DECORATE
208,DEEP
209,DELETE
210,DELICIOUS
211,DEMOCRAT
212,DEPART
213,DEPRESS
214,DESTROY
215,DEVELOP
216,DIALOG
217,DIE
218,DIFFERENT
219,DINNER
220,DIRECT
221,DISAPPOINT
222,DISCUSS
223,DISGUST
224,DISH
225,DISMISS
226,DISTRIBUTE
227,DO
228,DOCTOR
229,DODO
230,DOG
231,DOLLAR
232,DOOR
233,DORM
234,DOUBT
235,DOWN
236,DRESS/CLOTHES
237,DRINK
238,DRIVE
239,DROP
240,DRUGS
241,DRUNK
242,DRYCEREAL
243,DURING/WHILE
244,DYE
245,EACH
246,EACHONE
247,EASY
248,EAT
249,EATNIGHT
250,ECONOMIC
251,EIGHT
252,ELEMENTARY
253,EMBARRASS
254,EMERGENCY
255,EMOTION
256,EMPTY/EARLY
257,ENCOURAGE
258,END
259,ENJOY
260,ENOUGH
261,ENTER
262,ENVIRONMENT
263,EQUAL
264,ESCAPE
265,EVALUATE
266,EVERYDAY
267,EVERYMONTH/RENT
268,EVERYYEAR
269,EXACT
270,EXCUSE
271,EXPAND
272,EXPENSIVE
273,EXPERIENCE
274,EXPERIMENT
275,EXPERT
276,EXPRESS
277,EYES
278,FACE
279,FACESAME
280,FAIL
281,FALLINLOVE
282,FAMILY
283,FAMOUS
284,FANCY
285,FARM
286,FAST
287,FAST3
288,FATHER
289,FAULT
290,FAVORITE/PREFER
291,FEED
292,FEEDBACK3
293,FEEL
294,FEW
295,FEW/CLOSE
296,FIFTEEN
297,FIGHT
298,FILLOUT
299,FINALLY
300,FIND/FINDOUT
301,FIND/FINDOUTOUT
302,FINE
303,FINGERSPELL
304,FINISH
305,FIRE/BURN
306,FIRED
307,FIREWORKS
308,FIRST
309,FIRSTINLIST
310,FISH
311,FISHING
312,FIVE
313,FLAT/FLOOR
314,FLAT/LEVEL
315,FLATTIRE
316,FLIPFLOP
317,FLOW
318,FLOWER
319,FLYBYPLANE
320,FOCUS/NARROW
321,FOLLOW
322,FOOTBALL
323,FOR
324,FORFOR
325,FORGET
326,FORGETIT
327,FORK
328,FORMERLY
329,FOURDOLLARS
330,FREE
331,FRESHMAN
332,FRIDAY
333,FRIEND
334,FRISBEE
335,FROM
336,FROMNOWON
337,FULL
338,FUN
339,FUNNY
340,FUTURE
341,GAME
342,GARAGE/SUBMARINE
343,GATE
344,GENERAL
345,GENERATIONSAGO
346,GET
347,GETIN
348,GETTICKET
349,GETUP
350,GHOST
351,GIFT
352,GIRL
353,GIVE
354,GLASSES2
355,GO
356,GOAL
357,GOLF
358,GONE
359,GOOD/THANKYOU
360,GOOUT
361,GRAB
362,GRABCHANCE
363,GRAD
364,GRADUALIMPROVE
365,GRADUATE
366,GRANDMOTHER
367,GRASS
368,GREAT
369,GRIEF
370,GROUP
371,GROUP/TOGETHER
372,GROW
373,GROWUP
374,GUARANTEE
375,GUILTY
376,GUITAR
377,GYM
378,HABIT
379,HAIR
380,HALL
381,HAMBURGER
382,HANGUPPHONE
383,HAPPEN
384,HAPPY
385,HARD
386,HATE
387,HAVE
388,HEADBAND
389,HEAR
390,HEAR/LISTEN
391,HEARING
392,HEARNOISE
393,HEARRUMBLE
394,HEAVY
395,HEIGHT2
396,HELP
397,HERE
398,HIGH
399,HISTORY
400,HIT
401,HOME
402,HOMEWORK
403,HONEST
404,HONOR
405,HOPE
406,HORSE
407,HOSPITAL
408,HOT
409,HOUSE
410,HOW
411,HOWMANY
412,HUNGRY/WISH
413,HURRICANE
414,HURRY
415,HUSBAND
416,ICECREAM
417,IDEA
418,IDENTIFY
419,IF
420,IGNITIONON
421,ILLEGAL
422,IMAGINE
423,IMPORTANT
424,IMPOSSIBLE
425,IN
426,INCLUDE/INVOLVE
427,INCREASE
428,INDIVIDUAL
429,INFORM
430,INHALE
431,INNOCENT
432,INSPIRE
433,INSTITUTE
