Video ID number,main entry gloss label,entry/variant gloss label,occurrence label,start frame of video clip containing the sign (relative to full videos),end frame of video clip containing the sign (relative to full videos),start frame of the sign (relative to full videos),end frame of the sign (relative to full videos),Dominant start handshape,Non-dominant start handshape,Dominant end handshape,Non-dominant end handshape,full video file,sign type,Class Label
756,A-LEVEL-ABOVE,A-LEVEL-ABOVE,A-LEVEL-ABOVE,370,500,420,450,bent-B-L,bent-B-L,bent-B-L,bent-B-L,ASL_2008_02_15_scene50-camera1.mov,Lexical Signs,A-LEVEL-ABOVE
757,A-LEVEL-ABOVE,A-LEVEL-ABOVE,A-LEVEL-ABOVE,3525,3644,3575,3594,bent-B-L,bent-B-L,bent-B-L,bent-B-L,ASL_2011_07_19_Brady_scene44-camera1.mov,Lexical Signs,A-LEVEL-ABOVE
767,ABANDON,ABANDON,ABANDON,130,256,180,206,S,S,5,5,ASL_2008_01_11_scene5-camera1.mov,Lexical Signs,ABANDON
768,ABANDON,ABANDON,ABANDON,2177,2299,2227,2249,S,S,5,5,ASL_2008_05_12a_scene3-camera1.mov,Lexical Signs,ABANDON
769,ABANDON,ABANDON,ABANDON,7789,7904,7839,7854,S,S,5,5,ASL_2011_06_08_Brady_scene6-camera1.mov,Lexical Signs,ABANDON
39159,ACT+AGENT,ACT+AGENT,ACT+AGENT,150,279,200,229,10,10,B-L,B-L,ASL_2011_06_14_Brady_scene2-camera1.mov,Compound Signs,ACT+AGENT
39160,ACT+AGENT,ACT+AGENT,ACT+AGENT,2149,2316,2199,2266,A,A,B-L,B-L,ASL_2008_01_11_scene6-camera1.mov,Compound Signs,ACT+AGENT
39161,ACT+AGENT,ACT+AGENT,ACT+AGENT,4478,4627,4528,4577,10,10,B-L,B-L,ASL_2008_05_12a_scene6-camera1.mov,Compound Signs,ACT+AGENT
39162,ACT+AGENT,ACT+AGENT,ACT+AGENT,1005,1157,1055,1107,A,A,B-L,B-L,ASL_2008_08_04_scene5-camera1.mov,Compound Signs,ACT+AGENT
39163,ACT+AGENT,ACT+AGENT,ACT+AGENT,3072,3206,3122,3156,A,A,B-L,B-L,ASL_2011_06_08_Brady_scene15-camera1.mov,Compound Signs,ACT+AGENT
821,ADDICTED,ADDICTED,ADDICTED,1920,2056,1970,2006,X,,X,,ASL_2010_08_10_Liz_additional_lexicon_signs_scene5-camera1.mov,Lexical Signs,ADDICTED
153,ADMIT,(1h)ADMIT,(1h)ADMIT,6300,6442,6350,6392,B-L,,B-L,,ASL_2008_05_12a_scene6-camera1.mov,Lexical Signs,ADMIT
825,ADMIT,ADMIT,ADMIT,490,623,540,573,B-L,B-L,B-L,B-L,ASL_2008_01_11_scene7-camera1.mov,Lexical Signs,ADMIT
826,ADMIT,ADMIT,ADMIT,3457,3587,3507,3537,B-L,B-L,B-L,B-L,ASL_2008_08_04_scene5-camera1.mov,Lexical Signs,ADMIT
845,ADVISE/INFLUENCE,ADVISE/INFLUENCE,ADVISE/INFLUENCE,1755,1880,1805,1830,flat-O,flat-B,5,flat-B,ASL_2008_01_11_scene7-camera1.mov,Lexical Signs,ADVISE/INFLUENCE
847,ADVISE/INFLUENCE,ADVISE/INFLUENCE,ADVISE/INFLUENCE,775,900,825,850,flat-O,B,5,B,ASL_2008_05_12a_scene7-camera1.mov,Lexical Signs,ADVISE/INFLUENCE
849,ADVISE/INFLUENCE,ADVISE/INFLUENCE,ADVISE/INFLUENCE,958,1091,1008,1041,flat-O,B,5,B,ASL_2008_08_04_scene6-camera1.mov,Lexical Signs,ADVISE/INFLUENCE
207647,ADVISE/INFLUENCE,ADVISE/INFLUENCE,ADVISE/INFLUENCE,302,415,352,365,flat-O,psv,crvd-sprd-B,psv,ASL_2011_06_08_Brady_scene9-camera1.mov,Lexical Signs,ADVISE/INFLUENCE
207648,ADVISE/INFLUENCE,ADVISE/INFLUENCE,ADVISE/INFLUENCE,901,1024,951,974,flat-O,psv,crvd-sprd-B,psv,ASL_2006_10_10_scene2-camera1.mov,Lexical Signs,ADVISE/INFLUENCE
850,ADVISE/INFLUENCE,ADVISE/INFLUENCE,ADVISE/INFLUENCE+,2060,2195,2110,2145,flat-O,B,5,B,ASL_2008_01_11_scene7-camera1.mov,Lexical Signs,ADVISE/INFLUENCE
851,ADVISE/INFLUENCE,ADVISE/INFLUENCE,ADVISE/INFLUENCE+,1278,1417,1328,1367,O,psv,crvd-5,psv,ASL_2008_08_04_scene6-camera1.mov,Lexical Signs,ADVISE/INFLUENCE
852,ADVISE/INFLUENCE,ADVISE/INFLUENCE,ADVISE/INFLUENCE+,1086,1238,1136,1188,flat-O,psv,5,psv,ASL_2007_05_24_scene5-camera1.mov,Lexical Signs,ADVISE/INFLUENCE
853,ADVISE/INFLUENCE,ADVISE/INFLUENCE,ADVISE/INFLUENCE++,1010,1151,1060,1101,flat-O,B,5,B,ASL_2008_05_12a_scene7-camera1.mov,Lexical Signs,ADVISE/INFLUENCE
854,ADVISE/INFLUENCE,ADVISE/INFLUENCE_2,ADVISE/INFLUENCE_2,1690,1822,1740,1772,flat-O,S,5,S,ASL_2008_02_01_scene31-camera1.mov,Lexical Signs,ADVISE/INFLUENCE
855,ADVISE/INFLUENCE,ADVISE/INFLUENCE_2,ADVISE/INFLUENCE_2,3537,3660,3587,3610,flat-O,S,5,S,ASL_2008_08_13_scene26-camera1.mov,Lexical Signs,ADVISE/INFLUENCE
856,ADVISE/INFLUENCE,ADVISE/INFLUENCE_2,ADVISE/INFLUENCE_2,2421,2537,2471,2487,flat-O,S,5,S,ASL_2011_06_14_Brady_scene40-camera1.mov,Lexical Signs,ADVISE/INFLUENCE
866,AFTERNOON,AFTERNOON,AFTERNOON+,695,815,745,765,B-L,B-L,B-L,B-L,ASL_2008_08_04_scene7-camera1.mov,Lexical Signs,AFTERNOON
867,AFTERNOON,AFTERNOON,AFTERNOON+,1185,1314,1235,1264,B,B,B,B,ASL_2006_10_10_scene2-camera1.mov,Lexical Signs,AFTERNOON
868,AFTERNOON,AFTERNOON,AFTERNOON++,540,675,590,625,flat-B,B,flat-B,B,ASL_2008_05_12a_scene8-camera1.mov,Lexical Signs,AFTERNOON
869,AFTERNOON,AFTERNOON,AFTERNOON++,3460,3595,3510,3545,B-L,B-L,B-L,B-L,ASL_2008_05_29a_scene13-camera1.mov,Lexical Signs,AFTERNOON
870,AFTERNOON,AFTERNOON,AFTERNOON+++,1222,1370,1272,1320,B-L,B-L,B-L,B-L,ASL_2008_05_29a_scene8-camera1.mov,Lexical Signs,AFTERNOON
871,AFTERNOON,AFTERNOON_2,AFTERNOON_2,7723,7843,7773,7793,B,B,B,B,ASL_2011_06_08_Brady_scene9-camera1.mov,Lexical Signs,AFTERNOON
872,AFTERNOON,AFTERNOON_2,AFTERNOON_2,1432,1572,1482,1522,B,B,B,B,ASL_2007_05_24_scene5-camera1.mov,Lexical Signs,AFTERNOON
884,AGAINST,AGAINST,AGAINST,3020,3168,3070,3118,B-L,B-L,B-L,B-L,ASL_2008_02_15_scene26-camera1.mov,Lexical Signs,AGAINST
885,AGAINST,AGAINST,AGAINST,90,228,140,178,B-L,B-L,B-L,B-L,ASL_2011_07_19_Brady_scene22-camera1.mov,Lexical Signs,AGAINST
886,AGAINST,AGAINST,AGAINST,1602,1742,1652,1692,B,B-L,B,B-L,ASL_2006_10_10_scene2-camera1.mov,Lexical Signs,AGAINST
887,AGAINST,AGAINST,AGAINST,1915,2041,1965,1991,B,B-L,B,B-L,ASL_2007_05_24_scene5-camera1.mov,Lexical Signs,AGAINST
898,AGREE,AGREE,AGREE,2687,2820,2737,2770,1,1,1,1,ASL_2008_05_12a_scene8-camera1.mov,Lexical Signs,AGREE
899,AGREE,AGREE,AGREE,3542,3667,3592,3617,1,1,1,1,ASL_2008_08_04_scene7-camera1.mov,Lexical Signs,AGREE
900,AGREE,AGREE,AGREE,321,440,371,390,1,1,1,1,ASL_2011_06_08_Brady_scene10-camera1.mov,Lexical Signs,AGREE
