Index,Gloss
0,ABANDON
1,ABOUT
2,ABOVE
3,ACCEPT
4,ACCIDENT
5,ACT
6,ACTAGENT
7,ACTION
8,ADDICTED
9,ADMIT
10,ADULTTALL
11,ADVISE/INFLUENCE
12,ADVISE/INFLUENCEAGENT
13,AFRAID
14,AFTERNOON3
15,AGAIN
16,AGAINST
17,AGENT
18,AGREE
19,AIRPLANE
20,ALARM
21,ALCOHOL
22,ALEVELABOVE
23,ALL
24,ALLDAY
25,ALLERGY
26,ALLNIGHT
27,ALLOW
28,ALMOST
29,ALONE
30,ALOT
31,ALSO
32,ALWAYS
33,AMONG
34,ANALYZE
35,AND
36,ANGRY
37,ANIMAL
38,ANNOUNCE
39,ANSWER
40,ANSWERAGENT
41,ANY
42,ANYTHING
43,ANYWAY/NOTMATTER
44,APPLAUSE
45,APPLE
46,APPLY
47,APPOINTMENT
48,AREA
49,ARGUE
50,AROUND
51,ARRIVE
52,ARTICLE
53,ASK
54,ASSAULT
55,ATTEMPT
56,ATTENTIONWAVE
57,AUDIENCE
58,AUDIOLOGYAGENT
59,AUNT
60,AUTUMN
61,AVERAGE
62,AWKWARD
63,BABY
64,BACK
65,BAD
66,BAKE/OVEN
67,BAKINGSPRINKLES
68,BALANCE
69,BALD
70,BASEBALL
71,BASKETBALL
72,BAWLOUT
73,BBQ
74,BEAR
75,BEAT
76,BEAUTIFUL
77,BECAUSE
78,BECOME
79,BED
80,BEFORE
81,BEHAVIOR
82,BEHIND
83,BELIEVE
84,BELONG
85,BELOW2
86,BERRY
87,BESTFRIEND
88,BETTER
89,BETWEEN/SHARE
90,BICYCLE
91,BIG
92,BILL/OWE
93,BIRD
94,BIRTHDAY
95,BIRTHDAY3
96,BLACK
97,BLAME
98,BLANKOUT
99,BLUE
100,BLUEBERRY
101,BOAT
102,BODY
103,BOMB
104,BOOK
105,BOOKPAGE
106,BORE
107,BORN
108,BOSS
109,BOTH
110,BOTHER
111,BOX/ROOM
112,BOY
113,BRACELET
114,BRAVE/RECOVER
115,BREAK
116,BREAKDOWN
117,BREATHE
118,BRING/CARRY
119,BROTHER
120,BUILD
121,BUSY/BUSINESS
122,BUT
123,BUTTER
124,BUY
125,CAFETERIA
126,CALLBYPHONE
127,CALLONRELAY/VRS
128,CAMP
129,CAN
130,CANCEL/CRITICIZE
131,CANNOT
132,CAR
133,CARE
134,CAT
135,CAUSE
136,CELEBRATE
137,CENTER
138,CHALLENGE
139,CHANGE
140,CHAPTER
141,CHARACTER
142,CHASE
143,CHAT
144,CHEAP
145,CHECK
146,CHEESE
147,CHILD
148,CHOCOLATE
149,CHOOSE
150,CHRISTMAS
151,CHURCH
152,CITY/COMMUNITY
153,CLASS
154,CLASS2BOX/ROOM
155,CLEAR
156,CLEVER
157,CLOSEDOOR
158,COAT
159,COLD
160,COLLAR
161,COLLEGE
162,COLOR
163,COME
164,COMEON
165,COMMUNICATE
166,COMMUTE
167,COMPARE
168,COMPETITION
169,COMPUTER
170,COMPUTER5
171,CONCEPT
172,CONFIDENT
173,CONFLICT/INTERSECTION
174,CONFRONT
175,CONTACT
176,CONTINUE
177,COOK/KITCHEN
178,COOKIE
179,COOL
180,COOPERATE/UNITE
181,COP
182,CORRECT
183,COUGH
184,COUNTRY
185,COURSE
186,COURT
187,COUSIN
188,COW
189,CRACK
190,CRASH
191,CRAZY
192,CREATE/PRETEND
193,CROWDED
194,CRY
195,CULTURE
196,CUP
197,CURIOUS
198,DANCE
199,DANGER
200,DATE/DESSERT
201,DAUGHTER
202,DAY
203,DEAF
204,DEAF2
205,DEAFAPPLAUSE
206,DECIDE
207,DECORATE
208,DEEP
209,DELETE
210,DELICIOUS
211,DEMOCRAT
212,DEPART
213,DEPRESS
214,DESTROY
215,DEVELOP
216,DIALOG
217,DIE
218,DIFFERENT
219,DINNER
220,DIRECT
221,DISAPPOINT
222,DISCUSS
223,DISGUST
224,DISH
225,DISMISS
226,DISTRIBUTE
227,DO
228,DOCTOR
229,DODO
230,DOG
231,DOLLAR
232,DOOR
233,DORM
234,DOUBT
235,DOWN
236,DRESS/CLOTHES
237,DRINK
238,DRIVE
239,DROP
240,DRUGS
241,DRUNK
242,DRYCEREAL
243,DURING/WHILE
244,DYE
245,EACH
246,EACHONE
247,EASY
248,EAT
249,EATNIGHT
250,ECONOMIC
251,EIGHT
252,ELEMENTARY
253,EMBARRASS
254,EMERGENCY
255,EMOTION
256,EMPTY/EARLY
257,ENCOURAGE
258,END
259,ENJOY
260,ENOUGH
261,ENTER
262,ENVIRONMENT
263,EQUAL
264,ESCAPE
265,EVALUATE
266,EVERYDAY
267,EVERYMONTH/RENT
268,EVERYYEAR
269,EXACT
270,EXCUSE
271,EXPAND
272,EXPENSIVE
273,EXPERIENCE
274,EXPERIMENT
275,EXPERT
276,EXPRESS
277,EYES
278,FACE
279,FACESAME
280,FAIL
281,FALLINLOVE
282,FAMILY
283,FAMOUS
284,FANCY
285,FARM
286,FAST
287,FAST3
288,FATHER
289,FAULT
290,FAVORITE/PREFER
291,FEED
292,FEEDBACK3
293,FEEL
294,FEW
295,FEW/CLOSE
296,FIFTEEN
297,FIGHT
298,FILLOUT
299,FINALLY
300,FIND/FINDOUT
301,FIND/FINDOUTOUT
302,FINE
303,FINGERSPELL
304,FINISH
305,FIRE/BURN
306,FIRED
307,FIREWORKS
308,FIRST
309,FIRSTINLIST
310,FISH
311,FISHING
312,FIVE
313,FLAT/FLOOR
314,FLAT/LEVEL
315,FLATTIRE
316,FLIPFLOP
317,FLOW
318,FLOWER
319,FLYBYPLANE
320,FOCUS/NARROW
321,FOLLOW
322,FOOTBALL
323,FOR
324,FORFOR
325,FORGET
326,FORGETIT
327,FORK
328,FORMERLY
329,FOURDOLLARS
330,FREE
331,FRESHMAN
332,FRIDAY
333,FRIEND
334,FRISBEE
335,FROM
336,FROMNOWON
337,fsBEACH
338,fsLOX
339,FULL
340,FUN
341,FUNNY
342,FUTURE
343,GAME
344,GARAGE/SUBMARINE
345,GATE
346,GENERAL
347,GENERATIONSAGO
348,GET
349,GETIN
350,GETTICKET
351,GETUP
352,GHOST
353,GIFT
354,GIRL
355,GIVE
356,GLASSES2
357,Gloss
358,GO
359,GOAL
360,GOLF
361,GONE
362,GOOD/THANKYOU
363,GOOUT
364,GRAB
365,GRABCHANCE
366,GRAD
367,GRADUALIMPROVE
368,GRADUATE
369,GRANDMOTHER
370,GRASS
371,GREAT
372,GRIEF
373,GROUP
374,GROUP/TOGETHER
375,GROW
376,GROWUP
377,GUARANTEE
378,GUILTY
379,GUITAR
380,GYM
381,HABIT
382,HAIR
383,HALL
384,HAMBURGER
385,HANGUPPHONE
386,HAPPEN
387,HAPPY
388,HARD
389,HATE
390,HAVE
391,HEADBAND
392,HEAR
393,HEAR/LISTEN
394,HEARING
395,HEARNOISE
396,HEARRUMBLE
397,HEAVY
398,HEIGHT2
399,HELP
400,HERE
401,HIGH
402,HISTORY
403,HIT
404,HOME
405,HOMEWORK
406,HONEST
407,HONOR
408,HOPE
409,HORSE
410,HOSPITAL
411,HOT
412,HOUSE
413,HOW
414,HOWMANY
415,HS
416,HUNGRY/WISH
417,HURRICANE
418,HURRY
419,HUSBAND
420,ICECREAM
421,IDEA
422,IDENTIFY
423,IF
424,IGNITIONON
425,ILLEGAL
426,IMAGINE
427,IMPORTANT
428,IMPOSSIBLE
429,IN
430,INCLUDE/INVOLVE
431,INCREASE
432,INDIVIDUAL
433,INFORM
434,INHALE
435,INNOCENT
436,INSPIRE
437,INSTITUTE
438,INSURANCE/INFECTION
439,INTERESTING
440,INTERNATIONAL
441,INTERNET
442,INTERPRET
443,INTERPRETAGENT
444,INTERRUPT
445,INTERVIEW
446,INTRODUCE
447,INVITE/HIRE
448,IXpl2
449,JOB
450,JOIN
451,JUNIOR3
452,KEEP
453,KEY
454,KICKOFF
455,KID
456,KIND
457,KING
458,KISSFIST
459,KITCHEN
460,KNOW
461,KNOWNEG
462,KNOWNOTHING
463,KNOWTHAT
464,LANGUAGE
465,LAPTOP
466,LAST
467,LASTWEEK
468,LASTYEAR
469,LATE
470,LATER2
471,LAUGH
472,LAZY
473,LEARN
474,LEAVE
475,LEAVETHERE
476,LECTURE
477,LEMON
478,LESS
479,LESSTHAN
480,LETTER/MAIL
481,LIBRARY
482,LICENSE
483,LIE
484,LIEDOWN
485,LIGHT
486,LIGHTFLASH
487,LIGHTMATCH
488,LIKE
489,LINE
490,LINGUISTICS
491,LIST
492,LISTORDER
493,LITTLEBIT
494,LIVE
495,LOCAL
496,LOCK
497,LONG
498,LONGAGO
499,LONGLIST
500,LOOK
501,LOOKBYEYE
502,LOSE
503,LOSECOMPETITION
504,LOTION
505,LOUD
506,LOUSY
507,LOVE
508,LOWERCASE/TINY
509,LUCKY
510,MACHINE
511,MAD
512,MAGAZINE
513,MAJOR
514,MAKE
515,MALECOUSIN
516,MAN
517,MAN2
518,MANAGE/CONTROL
519,MANAGE/CONTROLAGENT
520,MANY
521,MARRY
522,MATCH
523,MATH
524,MAYBE
525,MEAN
526,MEAT
527,MEDICINE
528,MEET
529,MEETING
530,MELON/PUMPKIN
531,MELT/SOLVE
532,MEMBER
533,MEMORIZE
534,MESSEDUP
535,MICROPHONE
536,MIDDLE
537,MIDNIGHT
538,MILK
539,MIND
540,MINOR
541,MINUTE
542,MISMATCH
543,MISS/ASSUME
544,MISTAKE
545,MISUNDERSTAND
546,MONDAY
547,MONEY
548,MONEY2
549,MORE
550,MORETHAN
551,MORNING
552,MOST
553,MOTHER
554,MOTHERFATHER
555,MOTIVATE
556,MOUSE/FICTION
557,MOVE
558,MOVEAROUND
559,MOVEAWAY
560,MOVIE
561,MOW
562,MUSIC
563,MUST
564,MYSTERY
565,NAB
566,NAME
567,NARROWSTREET
568,NEAR
569,NEAT
570,NEGATIVE
571,NEPHEW
572,NEVER
573,NEW
574,NEXT
575,NEXTTO
576,NEXTWEEK
577,NICE/CLEAN
578,NIGHT
579,NINE
580,NINETEEN
581,NO
582,NOISE
583,NOISERUMBLE
584,NONE
585,NONE/NOTHING
586,NORTH
587,NOSE
588,NOT
589,NOTCARE
590,NOTHING
591,NOTHINGATALL
592,NOTICE
593,NOTMIND
594,NOTYET
595,NOW
596,nsBOSTON
597,NUMBER
598,NURSE
599,NUT
600,OCEAN
601,ofcourse
602,OFF
603,OFFICE
604,OFTEN
605,OHISEE
606,OK
607,OLD
608,ON
609,ONE
610,ONEHUNDRED
611,ONEMONTH
612,ONEMORE
613,ONEWEEK
614,ONLY
615,ONTIME
616,OPEN
617,OPPORTUNITY
618,OPPOSITE
619,OPTION
620,OR
621,ORANGE
622,ORDER
623,ORGANIZATION
624,ORGANIZE
625,ORIGINAL
626,OTHER
627,OUT
628,OVER/AFTER
629,PACK
630,PADDLE/CANOE
631,PAINT
632,PANTS2
633,PAPER
634,PAPERCHECK/CARD
635,PARALLEL
636,PARK
637,PARTY
638,PASS
639,PASSOUT
640,PAST
641,PASTNIGHT
642,PAY
643,PAY/BUY
644,PAY/SPEND
645,PEOPLE
646,PERMIT
647,PERSON
648,PERSONALITY
649,PET/SPOILED
650,PHONE
651,PHYSICS
652,PICK/CHOOSE
653,PICTURE
654,PIE
655,PIG
656,PINEAPPLE
657,PINGPONG/TENNIS
658,PISSOFF
659,PIZZA4
660,PLACE
661,PLAID
662,PLAN
663,PLAY
664,PLUS
665,PO
666,POINT
667,POINTTO
668,POLITE
669,POLITICS
670,PONDER
671,POPCORN
672,POPUP
673,POSS
674,POSTER
675,POSTPONE
676,POUND/WEIGH
677,POWER
678,POWERFUL
679,PRACTICE
680,PRESIDENT
681,PREVENT
682,PRICE
683,PRINCE
684,PRINCIPAL
685,PROBLEM
686,PROCEED
687,PROCEED2
688,PROFESSION
689,PROGRESS
690,PROJECT
691,PROPORTION
692,PROVE
693,PULL
694,PUNCH
695,PUNISH
696,PURPLE
697,PUT
698,PUTAWAY
699,QUESTION
700,QUIET
701,QUIT
702,QUIZ
703,QUOTE/TOPIC
704,RAIN
705,RAKE
706,RANGE
707,READ
708,READY
709,REALLY
710,REALLYWORK
711,REALLYWORK/BUSINESS
712,REASON
713,RECENTPAST
714,RECORD
715,RED
716,REFER
717,REFLECT
718,REFUSE
719,REGULAR
720,RELATIONSHIP
721,RELATIONSHIPOFF
722,REMEMBER
723,REMIND
724,REMIND2p
725,REPAIR
726,REPLACE
727,REPORT
728,REPUBLICAN
729,REQUEST
730,REQUIRE
731,RESEARCH
732,RESPONSIBILITY
733,REST
734,RESTAURANT
735,RETIRE
736,ROAD
737,ROOMMATE
738,ROWING
739,RUIN
740,RULE
741,RUN
742,RUNMACHINE
743,RUNOUT
744,SAD
745,SAFE
746,SALE
747,SAME
748,SAMEOLD
749,SAMETIME
750,SANDWICH4
751,SATISFIED
752,SAVE
753,SAVEMONEY
754,SAY
755,SCHEDULE
756,SCHOOL
757,SCRAPE
758,SCRATCH
759,SCREAM
760,SCREEN/FILTER
761,SEARCHFOR
762,SECOND
763,SECONDINLIST
764,SEE
765,SEEM
766,SEESEE
767,SELF
768,SELL
769,SEMESTER
770,SEND
771,SEND/MAIL
772,SENIOR
773,SENTENCE
774,SEPARATE
775,SERIOUS
776,SERVICE
777,SETUP
778,SEVEN
779,SEVENTH
780,SHEETCAKE
781,SHINE2
782,SHOE
783,SHORTHEIGHT
784,SHORTS
785,SHOULD
786,SHOW
787,SHUT
788,SICK
789,SICK/SILLY
790,SIGN
791,SILLY
792,SISTER
793,SIT
794,SITUATION
795,SIX
796,SKI
797,SKILL
798,SLEEP
799,SLOW
800,SMALL
801,SMILE
802,SMOOTH
803,SNOB
804,SNOW
805,SO
806,SOCIAL/INTERACT
807,SOCIALWORK
808,SOME
809,SOMETHING/ONE
810,SOMETIMES
811,SON
812,SOON
813,SORRY
814,SOSO
815,SOUP
816,SOUTH
817,SPAGHETTI
818,SPECIAL/EXCEPT
819,SPECIALTY
820,SPEECH/ORAL
821,SPELL
822,SPEND
823,SPREAD
824,STAMP
825,STAND
826,STAR
827,START
828,STAY
829,STEAL
830,STICKY
831,STILL
832,STOP
833,STORY
834,STRAIGHT
835,STRANGE
836,STRING
837,STRIPES
838,STRONG
839,STRUGGLE
840,STUCK
841,STUDENT
842,STUDY
843,SUCCEED
844,SUFFER
845,SUGGEST
846,SUMMER
847,SUMMON
848,SUN
849,SUNBATHE
850,SUNDAY
851,SUNSHINE
852,SUPERIOR
853,SUPPORT
854,SURFACE
855,SURFINTERNET
856,SURPRISE
857,SUSPECT
858,SWALLOW
859,SWEETHEART
860,SWIM
861,SWITCH
862,SYSTEM
863,TABLE
864,TAKE
865,TAKEBREAK
866,TAKENOTES
867,TAKEUP
868,TALK
869,TALKOVER
870,TAN
871,TAPERECORDING
872,TASTE
873,TEACH
874,TEACHAGENT
875,TEAM
876,TEASE2
877,TELL
878,TEMPERATURE
879,TEN
880,TEND
881,TEST
882,TEXTING
883,THAN
884,THAT
885,THEN
886,THEREFORE
887,THESE
888,THING
889,THINK
890,THINKMEAN
891,THINKOVER
892,THINKSHOCK
893,THIRD
894,THIRDINLIST
895,THIRDPLACE
896,THIRTY
897,THOUSAND
898,THREE
899,THRILL/WHAT'SUP
900,THROUGH
901,THROW
902,THUMBSUP/GOOD
903,THURSDAY
904,TIME
905,TIMEPERIOD
906,TIRED
907,TO/UNTIL
908,TOGETHER/GOSTEADY
909,TOILET
910,TOMORROW
911,TOOTH/GLASS
912,TORTURE
913,TOTAL
914,TOTAL GLOSS
915,TOUGH
916,TRADITION
917,TRAFFIC2
918,TRAIN
919,TRANSFER
920,TREE
921,TRIP
922,TROPHY
923,TROUBLE
924,TRY
925,TURN
926,TV
927,TWENTY
928,TWENTYFIVE
929,TWICE
930,TWO
931,TYPE
932,UGLY
933,UMBRELLA
934,UNCLE
935,UNDER
936,UNDERSTAND
937,UP
938,UPAHEAD
939,UPSET
940,UPTONOW
941,USE
942,USESIGNLANGUAGE
943,VACATION
944,VARY
945,VEGETABLE
946,VERY
947,VERYFAST
948,VIDEOGAME
949,VIDEOTAPE
950,VISIT
951,VISUALIZE
952,VOICE
953,VOICERANGE
954,VOLUNTEER/SHIRT
955,VOMIT/HATE
956,VOTE
957,VP
958,WAIT
959,WAITAMINUTE
960,WALK
961,WANT
962,WANTNEG
963,WARM
964,WARN
965,WASHINGMACHINE
966,WATER
967,WEATHER
968,WEDDING
969,WEEKEND
970,WHAT
971,WHEN
972,WHERE
