Index,Gloss
0,1no
1,2004
2,3comeon
3,3contemplation
4,3um
5,5CLIdon'tknow
6,5CLoutofmycontrol
7,5CLthat'sthewayitis
8,5CLyouknow
9,5Idon'tknow
10,5aroundhere
11,5awestruck
12,5cheering
13,5concession
14,5discreet
15,5dismissivegesture
16,5ehh
17,5etcetera
18,5exasperation
19,5focus
20,5forgetit
21,5frustration
22,5gathering
23,5handsoff
24,5hesitation
25,5hey
26,5heyno
27,5let'ssee
28,5listenup
29,5lookingforwords
30,5makingnoises
31,5nomore
32,5notabigdeal
33,5notknowwhattodo
34,5ofcourse
35,5oh
36,5ohman
37,5ohno!
38,5ohwell
39,5ok
40,5okhey
41,5outofhercontrol
42,5outofmycontrol
43,5panic
44,5pause
45,5payattention
46,5perplexed
47,5reassure
48,5resignation
49,5set
50,5sheepish
51,5shocked
52,5sigh
53,5soallset
54,5sook
55,5surprised
56,5that'sit
57,5that'sthewayitis
58,5trepidation
59,5uh
60,5umm
61,5uncertain
62,5unsure
63,5wait
64,5waveno
65,5well
66,5what'sgoingon?
67,5whattheheck
68,5whoa
69,5whoa''
70,5whyisitso
71,5whynot
72,5wow
73,5youknow
74,5yousee
75,A
76,ABANDON
77,ABOUT
78,ABOVE
79,AC
80,ACCEPT
81,ACCIDENT
82,ACCOMMODATE
83,ACT
84,ACTAGENT
85,ACTION
86,ADDICTED
87,ADDTO
88,ADMIT
89,ADULTTALL
90,ADVISE/INFLUENCE
91,ADVISE/INFLUENCEAGENT
92,AFRAID
93,AFTERNOON3
94,AGAIN
95,AGAINST
96,AGENT
97,AGESIXHALF
98,AGETHIRTEEN
99,AGETWENTYONE
100,AGREE
101,AIRPLANE
102,ALARM
103,ALCOHOL
104,ALEVELABOVE
105,ALEVELBELOW
106,ALL
107,ALLDAY
108,ALLERGY
109,ALLNIGHT
110,ALLOW
111,ALLYEARSHS
112,ALMOST
113,ALONE
114,ALOT
115,ALSO
116,ALWAYS
117,AMONG
118,ANALYZE
119,AND
120,ANGRY
121,ANIMAL
122,ANNOUNCE
123,ANSWER
124,ANSWERAGENT
125,ANY
126,ANYMORE
127,ANYONE
128,ANYTHING
129,ANYTIME
130,ANYWAY/NOTMATTER
131,AOK
132,APPLAUSE
133,APPLE
134,APPLY
135,APPOINTMENT
136,APT
137,AREA
138,ARGUE
139,AROUND
140,ARRIVE
141,ARTICLE
142,ASK
143,ASL
144,ASSAULT
145,ATTEMPT
146,ATTENTIONWAVE
147,AUDIENCE
148,AUDIOLOGYAGENT
149,AUNT
150,AUTOMATIC
151,AUTUMN
152,AVERAGE
153,AWKWARD
154,B
155,BABY
156,BACK
157,BACKOFMIND
158,BACKTOTOPIC
159,BACKWARD2
160,BAD
161,BAKE/OVEN
162,BAKINGSPRINKLES
163,BALANCE
164,BALD
165,BASEBALL
166,BASKETBALL
167,BAWLOUT
168,BBQ
169,BCLCgrabBible
170,BCLCshowingoffpectorals
171,BCLSnudgeneighbor
172,BCLbentBLdonothing
173,BCLbentBsoundasleep
174,BCLcrvd5eyespopout
175,BCLcrvd5frozenbodyreaction
176,BCLcrvd5holdingfootball
177,BCLcrvd5swashbucklerlike
178,BCLlickhand
179,BCLreadingbook
180,BEAR
181,BEAT
182,BEAUTIFUL
183,BECAUSE
184,BECOME
185,BED
186,BEFORE
187,BEHAVIOR
188,BEHIND
189,BELIEVE
190,BELONG
191,BELOW2
192,BERRY
193,BESTFRIEND
194,BETTER
195,BETWEEN/SHARE
196,BICYCLE
197,BIG
198,BILL/OWE
199,BIRD
200,BIRTHDAY
201,BIRTHDAY3
202,BLACK
203,BLAME
204,BLANKOUT
205,BLIdon'tknow
206,BLUE
207,BLUEBERRY
208,BLUEfsBERRY
209,BOAT
210,BODY
211,BOMB
212,BOOK
213,BOOKPAGE
214,BORE
215,BORN
216,BOSS
217,BOTH
218,BOTHER
219,BOX/ROOM
220,BOY
221,BOYSCOUT
222,BPCL1goingovernaturalvoicerange
223,BPCL1voiceloopfrommouthtoear
224,BPCLBLrubonlotion
225,BPCLSfistpump
226,BPCLV/2persongivingadirtylook
227,BPCLbentBacceptablevoicerange
228,BPCLbentBgoingovernaturalvoicerange
229,BPCLbentBgraduallyincreasingvoice
230,BRACELET
231,BRAVE/RECOVER
232,BREAK
233,BREAKDOWN
234,BREAKENTER
235,BREAKFAST
236,BREATHE
237,BRING/CARRY
238,BROTHER
239,BUILD
240,BURN
241,BURP
242,BURST
243,BUS
244,BUSTED
245,BUSY/BUSINESS
246,BUT
247,BUTTER
248,BUY
249,BYAHAIR
250,C
251,CAFETERIA
252,CALLBYPHONE
253,CALLONRELAY/VRS
254,CAMP
255,CAN
256,CANCEL/CRITICIZE
257,CANNOT
258,CAR
259,CARAGENT
260,CARE
261,CAT
262,CAUSE
263,CD
264,CELEBRATE
265,CENTER
266,CHALLENGE
267,CHANGE
268,CHAPTER
269,CHARACTER
270,CHASE
271,CHAT
272,CHEAP
273,CHEAPMOST
274,CHECK
275,CHECKfsLIST
276,CHEER
277,CHEESE
278,CHILD
279,CHOCOLATE
280,CHOOSE
281,CHRISTMAS
282,CHURCH
283,CITY/COMMUNITY
284,CLASS
285,CLASS2BOX/ROOM
286,CLEAR
287,CLEVER
288,CLICK
289,CLOSEBOOK
290,CLOSEDOOR
291,COAT
